Company,OldFV,NewFV,SplitDate
Sri Adhikari,2,10,25-10-2007
Faze Three Exp,2,10,24-10-2007
Birla Precision,10,2,24-10-2007
ICSA,10,2,23-10-2007
BL Kashyap,10,5,22-10-2007
Advani Hotels,10,2,22-10-2007
Asian Electroni,10,5,22-10-2007
Lloyds Metals,10,2,19-10-2007
Peninsula Land,10,2,16-10-2007
Arshiya,10,2,12-10-2007
Man Industries,10,5,09-10-2007
Anant Raj,10,2,08-10-2007
Compucom Soft,10,2,08-10-2007
Jai Corp,10,1,05-10-2007
Shilpa,10,2,28-09-2007
GMR Infra,10,2,28-09-2007
Batliboi,10,5,26-09-2007
Amara Raja Batt,10,2,19-09-2007
Electrosteel,10,1,17-09-2007
Ahluwalia,10,2,14-09-2007
Glenmark,2,1,10-09-2007
Usha Martin,5,1,29-08-2007
Hind Rectifiers,10,2,28-08-2007
NIIT,10,2,24-08-2007
Sanghvi Movers,10,2,23-08-2007
Everest Kanto,10,2,21-08-2007
Matra Realty,10,5,17-08-2007
Apollo Tyres,10,1,17-08-2007
Divis Labs,10,2,03-08-2007
Modison Metals,10,1,03-08-2007
Easun Reyrl,10,2,31-07-2007
Sun TV Network,10,5,23-07-2007
KS Oils,10,1,18-07-2007
Satra Prop,10,2,09-07-2007
Alchemist,1,10,05-07-2007
ABB India,10,2,28-06-2007
Bharat Seats,10,2,28-06-2007
CORE Education,10,2,06-06-2007
Huhtamaki PPL,10,2,25-05-2007
Thomas Cook,10,1,14-05-2007
Mirza Intl,10,2,24-04-2007
Action Financia,1,10,23-04-2007
Punj Lloyd,10,2,29-03-2007
NRB Bearings,10,2,26-03-2007
Suven Life Sci,2,1,23-03-2007
Minaxi Textiles,10,1,21-03-2007
Bombay SwadShar,10,2,20-03-2007
Sapan Chemicals,1,10,15-03-2007
Nirma,10,5,14-03-2007
Prime Urban Dev,10,2,13-03-2007
DeccanChronicle,10,2,13-03-2007
Max Financial,10,2,12-03-2007
Marico,10,1,21-02-2007
Gokaldas Export,10,5,08-02-2007
JIK Industries,1,10,07-02-2007
Paramount Comm,10,2,25-01-2007
Pondy Oxides,2,10,15-01-2007
Alka Secur,10,2,15-01-2007
Jaybharat Text,5,2,09-01-2007
Finolex Cables,10,2,08-01-2007
CNI Research,10,1,08-01-2007
KPIT Tech,5,2,04-01-2007
Allied Computer,10,1,19-12-2008
Jyothy Labs,5,1,12-12-2008
Koffee Break,10,1,08-12-2008
State Bk Travan,100,10,05-12-2008
Sybly Ind,10,1,02-12-2008
Khyati Multimed,1,10,24-11-2008
Shri Dinesh Mil,100,10,20-11-2008
Nectar Life,10,1,12-11-2008
Jindal Drilling,10,5,06-11-2008
Ratnamani Metal,10,2,06-11-2008
Mobile Tele,10,1,31-10-2008
Time Techno,10,1,29-10-2008
Skyline Millars,10,1,27-10-2008
GE T&D India,10,2,22-10-2008
Country Club,10,2,15-10-2008
AIA Engineering,10,2,13-10-2008
State B Bikaner,100,10,07-10-2008
Provogue,10,2,03-10-2008
Ramco Cements,10,1,01-10-2008
Take Solutions,10,1,18-09-2008
Bafna Spinning,10,5,18-09-2008
Hercules Hoists,10,1,17-09-2008
Gemini Comm,5,1,17-09-2008
Era Infra Eng,10,2,17-09-2008
Adinath Bio-Lab,10,1,15-09-2008
AI Champdany,10,5,11-09-2008
JM Financial,10,1,08-09-2008
JTEKT India ,2,1,02-09-2008
Mavens Biotech,10,1,25-08-2008
Kokuyo Camlin,10,1,22-08-2008
GS Auto,10,5,20-08-2008
IIFL Holdings,10,2,08-08-2008
Vedanta,10,1,08-08-2008
Graviss Hosp,10,2,04-08-2008
Diana Tea,2,5,30-07-2008
Motilal Oswal,5,1,25-07-2008
Hatsun Agro,10,2,17-07-2008
Madras Aluminiu,10,2,17-07-2008
Tricom India,10,2,15-07-2008
Millennium Cybe,1,10,14-07-2008
Fast Track,1,10,14-07-2008
AB Money,10,1,11-07-2008
Eastern Silk,10,2,27-06-2008
MIC Electronics,10,2,27-06-2008
Tribhuvan House,10,5,02-06-2008
Cals Refineries,10,1,28-05-2008
Dollex Ind,10,5,12-05-2008
Tanla Solutions,2,1,02-05-2008
Evinix,10,1,29-04-2008
Alchemist Real,10,2,25-04-2008
CenturyPlyboard,10,1,24-04-2008
NMDC,10,1,10-04-2008
Shree Renuka,10,1,10-04-2008
Karuturi Global,10,1,04-04-2008
Crazy Infotech,10,1,28-03-2008
Super Tannery,10,2,19-03-2008
Gandhi Spl Tube,10,5,17-03-2008
Emco,10,2,14-03-2008
Action Const,10,2,13-03-2008
Marksans Pharma,10,1,11-03-2008
Bliss GVS,10,1,11-03-2008
Pudumjee Ind,10,2,11-03-2008
PTL Enterprises,10,2,25-02-2008
Walchandnagar,10,2,25-02-2008
TV18 Broadcast,10,2,21-02-2008
Triton Corp,2,1,18-02-2008
Kulkarni Power,10,5,14-02-2008
Phoenix Mills,10,2,13-02-2008
GVK Power,10,1,08-02-2008
Sanwaria Consum,2,1,04-02-2008
Guj Flourochem,2,1,01-02-2008
Orient Paper,10,1,01-02-2008
Asian Films,10,1,30-01-2008
Rajesh Exports,2,1,29-01-2008
Modern India,10,2,25-01-2008
City Union Bank,10,1,23-01-2008
T Spirutual,2,10,23-01-2008
Cinevista,10,2,22-01-2008
Suzlon Energy,10,2,21-01-2008
Jindal Steel,5,1,21-01-2008
Delta Corp,10,1,15-01-2008
Classic Diamond,10,2,11-01-2008
