Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
590043,HARITASEAT,HARITA SEATING SYSTEMS LTD.-$,15 Nov 2007,Bonus issue 1:1,16 Nov 2007,-,-,08 Nov 2007,15 Nov 2007,-
524200,VINATIORGA,VINATI ORGANICS LTD.-$,22 Nov 2007,Bonus issue 1:2,23 Nov 2007,-,-,16 Nov 2007,22 Nov 2007,-
511736,USHDI,USHDEV INTERNATIONAL LTD.,05 Dec 2007,Bonus issue 1:1,06 Dec 2007,-,-,29 Nov 2007,05 Dec 2007,-
503685,MEDIAONE,MEDIAONE GLOBAL ENTERTAINMENT LTD.,12 Dec 2007,Bonus issue 5:1,24 Dec 2007,-,-,12 Dec 2007,27 Dec 2007,-
531233,RASIELEC,RASI ELECTRODES LTD.,19 Dec 2007,Bonus issue 2:5,20 Dec 2007,-,-,13 Dec 2007,19 Dec 2007,-
506525,KANORICHEM,KANORIA CHEMICALS & INDUSTRIES LTD.,31 Dec 2007,Bonus issue 1:2,07 Jan 2008,-,-,31 Dec 2007,04 Jan 2008,-
505690,BRADYM,BRADY & MORRIS ENGINEERING CO.LTD.,03 Jan 2008,Bonus issue 1:2,04 Jan 2008,-,-,28 Dec 2007,03 Jan 2008,-
530077,FRSHTRP,FRESHTROP FRUITS LTD.,03 Jan 2008,Bonus issue 1:1,04 Jan 2008,-,-,28 Dec 2007,03 Jan 2008,-
501391,WHBRADY,W.H.BRADY & CO.LTD.,03 Jan 2008,Bonus issue 1:2,04 Jan 2008,-,-,28 Dec 2007,03 Jan 2008,-
531223,ANJANI,ANJANI SYNTHETICS LTD.-$,10 Jan 2008,Bonus issue 1:1,11 Jan 2008,-,-,04 Jan 2008,10 Jan 2008,-
518017,BHEEMACEM,BHEEMA CEMENTS LTD.,17 Jan 2008,Bonus issue 7:4,31 Jan 2008,-,-,17 Jan 2008,05 Feb 2008,-
500366,ROLTA,ROLTA INDIA LTD.,24 Jan 2008,Bonus issue 1:1,25 Jan 2008,-,-,18 Jan 2008,24 Jan 2008,-
508996,SATRAPROP,SATRA PROPERTIES (INDIA) LTD.,24 Jan 2008,Bonus issue 2:1,25 Jan 2008,-,-,18 Jan 2008,24 Jan 2008,-
531500,RAJESHEXPO,RAJESH EXPORTS LTD.,29 Jan 2008,Bonus issue 2:1,05 Feb 2008,-,-,29 Jan 2008,04 Feb 2008,-
532114,AREALTY,ALCHEMIST REALTY LTD.,06 Feb 2008,Bonus issue 1:1,07 Feb 2008,-,-,31 Jan 2008,06 Feb 2008,-
